,Year,Shares,Fuel,Weight (kg),Engine effect (kW),Prices (2015-DKK),key,kmL
200,2007,0.000111372,Diesel,1868,77.0,286762.3421,seat-leon-2007-Diesel,17.2
201,2007,0.000103868,Diesel,1650,66.0,204125.1435,ford-fusion-2007-Diesel,22.2
202,2007,0.000103078,Diesel,2085,78.0,369003.4443,nissan-qashqai-2007-Diesel,18.5
203,2007,9.64e-05,Diesel,1625,50.0,142350.1722,ford-fiesta-2007-Diesel,22.7
204,2007,9.52e-05,Benzin,1650,110.0,193838.1171,seat-ibiza-2007-Benzin,14.5
205,2007,8.93e-05,Benzin,1515,88.0,327324.9139,mini-cooper-2007-Benzin,13.7
206,2007,8.77e-05,Benzin,1975,103.0,559127.4397,volvo-s60-2007-Benzin,10.5
207,2007,8.41e-05,Diesel,1650,81.0,143269.8048,kia-rio-2007-Diesel,22.2
208,2007,8.37e-05,Benzin,1944,75.0,294784.1561,seat-toledo-2007-Benzin,13.0
209,2007,8.29e-05,Benzin,1680,147.0,737311.1366,audi-tt-2007-Benzin,12.8
210,2007,7.98e-05,Diesel,2505,0.0,577632.6062,ford-galaxy-2007-Diesel,15.3
211,2007,7.62e-05,Benzin,2030,114.0,481000.0,honda-accord-2007-Benzin,11.1
212,2007,6.16e-05,Diesel,2545,240.0,2131862.227,audi-a8-2007-Diesel,10.4
213,2007,5.85e-05,Benzin,1775,80.0,207795.6372,peugeot-partner-2007-Benzin,13.3
214,2007,5.81e-05,Diesel,1960,132.0,402865.6716,volvo-v50-2007-Diesel,20.0
215,2007,5.73e-05,Benzin,1750,77.0,250287.0264,subaru-impreza-2007-Benzin,13.3
216,2007,5.33e-05,Benzin,2540,331.0,2457024.11,audi-s8-2007-Benzin,7.5
217,2007,4.9e-05,Benzin,1860,309.0,2578028.703,audi-r8-2007-Benzin,7.4
218,2007,4.82e-05,Diesel,2110,176.0,864522.3881,audi-a5-2007-Diesel,13.9
219,2007,4.15e-05,Benzin,2600,320.0,1849437.428,audi-s6-2007-Benzin,7.5
220,2007,4.07e-05,Benzin,2019,220.0,822754.3054,ford-mustang-2007-Benzin,9.3
221,2007,1.46e-05,Benzin,2380,373.0,2818311.137,bmw-m6-2007-Benzin,6.8
222,2007,3.99e-05,Benzin,2415,107.0,577632.6062,ford-galaxy-2007-Benzin,12.2
223,2007,3.87e-05,Diesel,2103,103.0,432838.1171,skoda-superb-2007-Diesel,15.9
224,2007,3.83e-05,Diesel,2355,160.0,1120177.956,bmw-x3-2007-Diesel,13.9
225,2007,3.67e-05,Benzin,2135,106.0,339797.9334,kia-carens-2007-Benzin,12.3
226,2007,3.24e-05,Benzin,1875,169.0,541927.6693,subaru-forester-2007-Benzin,9.5
227,2007,2.88e-05,Benzin,1975,118.0,419848.4501,mitsubishi-outlander-2007-Benzin,9.9
228,2007,2.53e-05,Diesel,1890,103.0,309989.667,honda-civic-2007-Diesel,18.9
229,2007,0.000197468,Diesel,2955,173.0,1323995.408,bmw-x5-2007-Diesel,11.5
230,2007,1.9e-05,Benzin,2625,232.0,1025052.813,volvo-xc90-2007-Benzin,7.5
231,2007,0.000204182,Benzin,1850,80.0,220420.2067,citron-berlingo-2007-Benzin,13.5
232,2007,0.000216425,Diesel,1880,66.0,246842.7095,citron-berlingo-2007-Diesel,18.5
233,2007,0.001155582,Benzin,1200,50.0,120362.8014,citron-c1-2007-Benzin,21.7
234,2007,0.000684029,Diesel,1500,80.0,225793.341,citron-c3-2007-Diesel,22.7
235,2007,0.000293042,Diesel,1944,100.0,373710.6774,citron-c5-2007-Diesel,18.5
236,2007,0.000323847,Diesel,2505,92.0,552812.8588,ford-s-max-2007-Diesel,15.6
237,2007,0.000201417,Benzin,2080,110.0,521237.6579,honda-cr-v-2007-Benzin,12.3
238,2007,1.97e-05,Benzin,2010,129.0,559169.9196,cadillac-bls-2007-Benzin,12.4
239,2007,4.3e-05,Diesel,2045,110.0,328351.3203,chevrolet-epica-2007-Diesel,16.4
240,2007,1.86e-05,Benzin,1680,375.0,4470723.307,ferrari-f430-2007-Benzin,5.6
241,2007,4.27e-05,Diesel,1970,103.0,481000.0,honda-accord-2007-Diesel,18.2
242,2007,0.000318713,Diesel,2900,136.0,516640.6429,kia-carnival-2007-Diesel,11.1
243,2007,4.82e-05,Diesel,1485,55.0,102556.8312,kia-picanto-2007-Diesel,23.7
244,2007,2.61e-05,Diesel,2510,103.0,574369.69,seat-alhambra-2007-Diesel,14.9
245,2007,0.000106238,Diesel,1250,40.0,118417.9104,toyota-aygo-2007-Diesel,24.4
246,2007,3.67e-05,Benzin,2400,125.0,692446.6131,volvo-c70-2007-Benzin,11.2
247,2008,5.5e-05,Benzin,2080,309.0,1569643.729,bmw-m3-2008-Benzin,8.1
248,2008,3.93e-05,Diesel,2254,160.0,843235.2941,bmw-x3-2008-Diesel,13.5
249,2008,0.00028814,Diesel,2755,173.0,1200887.902,bmw-x5-2008-Diesel,12.3
